title,tag,artist,year,views,lyrics,language,processed_lyrics,processed_LDA_lyrics,topic,theme
Hey Bulldog,rock,the beatles,1969,45949,"[Verse 1: John Lennon & Paul McCartney]
Sheepdog
Standing in the rain
Bullfrog
Doing it again
Some kind of happiness is measured out in miles
What makes you think you're something special when you smile?

[Verse 2: John Lennon & Paul McCartney]
Child-like
No one understands
Jack knife
In your sweaty hands
Some kind of innocence is measured out in years
You don't know what it's like to listen to your fears

[Chorus: John Lennon]
You can talk to me
You can talk to me
You can talk to me
If you're lonely you can talk to me
[Verse 3: John Lennon, Paul McCartney & Ringo Starr]
Big man (Yeah)
Walking in the park
Wigwam
Frightened of the dark
Some kind of solitude is measured out in you
You think you know me but you haven't got a clue

[Chorus: John Lennon]
You can talk to me
You can talk to me
You can talk to me
If you're lonely you can talk to me

[Bridge: John Lennon & Paul McCartney]
Wahoo woof! Woof!
Hey bulldog! Hey bulldog!
Hey bulldog! Hey bulldog!

[Speech: John Lennon]
Hey man, what's that boy?
Woof!
What do you say?
I said ""woof!""
You know anymore?
Wooaah ha ha ha!
You've got it, that's it, you had it!
That's it, man, woo!
That's it! You've got it!
Don't look at me man, I only have ten children
Ah ho! Ha ha ha ha ha ha!
Quiet boy, quiet!
Okay
Quiet!
[Outro: John Lennon & Paul McCartney]
Hey bulldog!
Hey bulldog!",en,"sheepdog standing in the rain bullfrog doing it again some kind of happiness is measured out in miles what makes you think you're something special when you smile ?  child-like no one understands jack knife in your sweaty hands some kind of innocence is measured out in years you don't know what it's like to listen to your fears  you can talk to me you can talk to me you can talk to me if you're lonely you can talk to me  big man  walking in the park wigwam frightened of the dark some kind of solitude is measured out in you you think you know me but you haven't got a clue  you can talk to me you can talk to me you can talk to me if you're lonely you can talk to me  wahoo woof ! woof ! hey bulldog ! hey bulldog ! hey bulldog ! hey bulldog !  hey man , what's that boy ? woof ! what do you say ? i said ""woof ! "" you know anymore ? wooaah ha ha ha ! you've got it , that's it , you had it ! that's it , man , woo ! that's it ! you've got it ! don't look at me man , i only have ten children ah ho ! ha ha ha ha ha ha ! quiet boy , quiet ! okay quiet !  hey bulldog ! hey bulldog !","['sheepdog', 'standing', 'rain', 'bullfrog', 'kind', 'happiness', 'measured', 'miles', 'makes', 'think', 'special', 'smile', 'child', 'like', 'understands', 'jack', 'knife', 'sweaty', 'hands', 'kind', 'innocence', 'measured', 'years', 'know', 'like', 'listen', 'fears', 'talk', 'talk', 'talk', 'lonely', 'talk', 'big', 'man', 'walking', 'park', 'wigwam', 'frightened', 'dark', 'kind', 'solitude', 'measured', 'think', 'know', 'got', 'clue', 'talk', 'talk', 'talk', 'lonely', 'talk', 'wahoo', 'woof', 'woof', 'hey', 'bulldog', 'hey', 'bulldog', 'hey', 'bulldog', 'hey', 'bulldog', 'hey', 'man', 'boy', 'woof', 'said', 'woof', 'know', 'anymore', 'wooaah', 'ha', 'ha', 'ha', 'got', 'man', 'woo', 'got', 'look', 'man', 'children', 'ah', 'ho', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'quiet', 'boy', 'quiet', 'okay', 'quiet', 'hey', 'bulldog', 'hey', 'bulldog']",3,Love & Relationships
Its All Too Much,rock,the beatles,1969,24095,"[Intro]
It's all too much
It's all too much

[Verse 1]
When I look into your eyes, your love is there for me
And the more I go inside, the more there is to see

[Chorus]
It's all too much for me to take
The love that's shining all around you
Everywhere, it's what you make
For us to take, it's all too much

[Verse 2]
Floating down the stream of time from life to life with me
Makes no difference where you are or where you'd like to be

[Chorus]
It's all too much for me to take
The love that's shining all around here
All the world is birthday cake
So take a piece but not too much
[Verse 3]
Sail me on a silver sun, where I know that I'm free
Show me that I'm everywhere, and get me home for tea

[Chorus]
It's all too much for me to see
The love that's shining all around here
The more I learn, the less I know
But what I do is all too much

It's all too much for me to take
The love that's shining all around you
Everywhere, it's what you make
For us to take, it's all too much

[Outro]
It's too much
Ah, it's too much

With your long blond hair and your eyes of blue
With your long blond hair and your eyes of blue

You're too much, ah
We all get too much

Too much, too much, too much
Too much a, too much a, too much a
Too much a, too much a, too much a
Too much a, too much a, too much a
Too much a, too much a, too much a
Too much a, too much a, too much a
Too much a, too much a, too much a
Too much a, too much a, too much a
Too much a
Too much, too much, too much, too much, too much
Too much, too much, too much, too much, too much
Too much, too much, too much, too much, too much
Too much, too much, too much, too much, too much
Too much, too much, too much, too much, too much",en,"it's all too much it's all too much  when i look into your eyes , your love is there for me and the more i go inside , the more there is to see  it's all too much for me to take the love that's shining all around you everywhere , it's what you make for us to take , it's all too much  floating down the stream of time from life to life with me makes no difference where you are or where you'd like to be  it's all too much for me to take the love that's shining all around here all the world is birthday cake so take a piece but not too much  sail me on a silver sun , where i know that i'm free show me that i'm everywhere , and get me home for tea  it's all too much for me to see the love that's shining all around here the more i learn , the less i know but what i do is all too much it's all too much for me to take the love that's shining all around you everywhere , it's what you make for us to take , it's all too much  it's too much ah , it's too much with your long blond hair and your eyes of blue with your long blond hair and your eyes of blue you're too much , ah we all get too much too much , too much , too much too much a , too much a , too much a too much a , too much a , too much a too much a , too much a , too much a too much a , too much a , too much a too much a , too much a , too much a too much a , too much a , too much a too much a , too much a , too much a too much a too much , too much , too much , too much , too much too much , too much , too much , too much , too much too much , too much , too much , too much , too much too much , too much , too much , too much , too much too much , too much , too much , too much , too much","['look', 'eyes', 'love', 'inside', 'love', 'shining', 'floating', 'stream', 'time', 'life', 'life', 'makes', 'difference', 'like', 'love', 'shining', 'world', 'birthday', 'cake', 'piece', 'sail', 'silver', 'sun', 'know', 'free', 'home', 'tea', 'love', 'shining', 'learn', 'know', 'love', 'shining', 'ah', 'long', 'blond', 'hair', 'eyes', 'blue', 'long', 'blond', 'hair', 'eyes', 'blue', 'ah']",10,Love & Relationships
Long Tall Sally,rock,the beatles,1964,11465,"[Verse 1]
I'm going to tell Aunt Mary about Uncle John
He says he had the misery it but he got a lot of fun
Oh baby
Yeeeah now baby
Woooooh baby
Some fun tonight

[Verse 2]
I saw Uncle John with long tall Sally
He saw Aunt Mary coming and he ducked back in the alley
Oh baby
Yeeeeah now baby
Woooooh baby
Some fun tonight

[Guitar solo]

[Verse 3]
Well long tall Sally built pretty sweet
She got everything that Uncle John needs
Oh baby
Yeeeah now baby
Woooooh baby
Some fun tonight
[Guitar solo]

[Outro]
Well, we're going to have some fun tonight
Have some fun tonight
Everything's alright
Have some fun tonight
Have some fun, yeah yeah yeah
We're going to have some fun tonight
Have some fun tonight
Everything's alright
Have some fun tonight
Yeah, we'll have some fun, some fun tonight",en,"i'm going to tell aunt mary about uncle john he says he had the misery it but he got a lot of fun oh baby yeeeah now baby woooooh baby some fun tonight  i saw uncle john with long tall sally he saw aunt mary coming and he ducked back in the alley oh baby yeeeeah now baby woooooh baby some fun tonight   well long tall sally built pretty sweet she got everything that uncle john needs oh baby yeeeah now baby woooooh baby some fun tonight   well , we're going to have some fun tonight have some fun tonight everything's alright have some fun tonight have some fun , yeah yeah yeah we're going to have some fun tonight have some fun tonight everything's alright have some fun tonight yeah , we'll have some fun , some fun tonight","['going', 'tell', 'aunt', 'mary', 'uncle', 'john', 'says', 'misery', 'got', 'lot', 'fun', 'oh', 'baby', 'yeeeah', 'baby', 'woooooh', 'baby', 'fun', 'tonight', 'saw', 'uncle', 'john', 'long', 'tall', 'sally', 'saw', 'aunt', 'mary', 'coming', 'ducked', 'alley', 'oh', 'baby', 'yeeeeah', 'baby', 'woooooh', 'baby', 'fun', 'tonight', 'long', 'tall', 'sally', 'built', 'pretty', 'sweet', 'got', 'uncle', 'john', 'needs', 'oh', 'baby', 'yeeeah', 'baby', 'woooooh', 'baby', 'fun', 'tonight', 'going', 'fun', 'tonight', 'fun', 'tonight', 'alright', 'fun', 'tonight', 'fun', 'yeah', 'yeah', 'yeah', 'going', 'fun', 'tonight', 'fun', 'tonight', 'alright', 'fun', 'tonight', 'yeah', 'fun', 'fun', 'tonight']",8,Love & Relationships
I Call Your Name,rock,the beatles,1964,7175,"[Verse 1]
I call your name but you're not there
Was I to blame for being unfair
Oh I can't sleep at night
Since you've been gone
I never weep at night
I can't go on

[Bridge]
Don't you know I can't take it
I don't know who can
I'm not going to make it
I'm not that kind of man

[Verse 2]
Oh I can't sleep at night
But just the same
I never weep at night
I call your name
Oh!
[Bridge]
Don't you know I can't take it
I don't know who can
I'm not going to make it
I'm not that kind of man

[Verse 2]
Oh I can't sleep at night
But just the same
I never weep at night
I call your name

[Outro]
I call your name
I call your name
Woo, I call your name",en,"i call your name but you're not there was i to blame for being unfair oh i can't sleep at night since you've been gone i never weep at night i can't go on  don't you know i can't take it i don't know who can i'm not going to make it i'm not that kind of man  oh i can't sleep at night but just the same i never weep at night i call your name oh !  don't you know i can't take it i don't know who can i'm not going to make it i'm not that kind of man  oh i can't sleep at night but just the same i never weep at night i call your name  i call your name i call your name woo , i call your name","['blame', 'unfair', 'oh', 'sleep', 'night', 'gone', 'weep', 'night', 'know', 'know', 'going', 'kind', 'man', 'oh', 'sleep', 'night', 'weep', 'night', 'oh', 'know', 'know', 'going', 'kind', 'man', 'oh', 'sleep', 'night', 'weep', 'night', 'woo']",7,Love & Relationships
Slow Down,rock,the beatles,1964,5364,"[Intro]
Well, come on pretty baby, won't you walk with me?
Come on, pretty baby, won't you talk with me?
Come on pretty baby, give me one more chance
Try to save our romance!

Slow down, baby, now you're moving way too fast
You gotta gimme little lovin', gimme little loving
Ow! If you want our love to last

[Hook]
Well, I used to walk you home, baby, after school
Carry your books home, too
But now you got a boyfriend down the street
Baby what you're trying to do?

You better slow down!
Baby, now you're moving way too fast
You gotta gimme little lovin', gimme little loving
Brrr! If you want our love to last
Ooh!

[Instrumental break]
Ooh!

Well, you know that I love you, tell the world I do
Come on, pretty baby, why can't you be true?
I need your loving, oh so bad
The best little woman I ever had

Slow down!
Baby, now you're moving way too fast
You gotta gimme little lovin', gimme little loving
Awe! If you want our love to last

[Outro]
Woo!",en,"well , come on pretty baby , won't you walk with me ? come on , pretty baby , won't you talk with me ? come on pretty baby , give me one more chance try to save our romance ! slow down , baby , now you're moving way too fast you gotta gimme little lovin' , gimme little loving ow ! if you want our love to last  well , i used to walk you home , baby , after school carry your books home , too but now you got a boyfriend down the street baby what you're trying to do ? you better slow down ! baby , now you're moving way too fast you gotta gimme little lovin' , gimme little loving brrr ! if you want our love to last ooh !  ooh ! well , you know that i love you , tell the world i do come on , pretty baby , why can't you be true ? i need your loving , oh so bad the best little woman i ever had slow down ! baby , now you're moving way too fast you gotta gimme little lovin' , gimme little loving awe ! if you want our love to last  woo !","['come', 'pretty', 'baby', 'wo', 'walk', 'come', 'pretty', 'baby', 'wo', 'talk', 'come', 'pretty', 'baby', 'chance', 'try', 'save', 'romance', 'slow', 'baby', 'moving', 'way', 'fast', 'got', 'ta', 'gimme', 'little', 'gimme', 'little', 'loving', 'ow', 'want', 'love', 'walk', 'home', 'baby', 'school', 'carry', 'books', 'home', 'got', 'boyfriend', 'street', 'baby', 'trying', 'better', 'slow', 'baby', 'moving', 'way', 'fast', 'got', 'ta', 'gimme', 'little', 'gimme', 'little', 'loving', 'brrr', 'want', 'love', 'ooh', 'ooh', 'know', 'love', 'tell', 'world', 'come', 'pretty', 'baby', 'true', 'need', 'loving', 'oh', 'bad', 'best', 'little', 'woman', 'slow', 'baby', 'moving', 'way', 'fast', 'got', 'ta', 'gimme', 'little', 'gimme', 'little', 'loving', 'awe', 'want', 'love', 'woo']",3,Love & Relationships
Matchbox,rock,the beatles,1964,6228,"{Intro}

I said I'm sittin' here watchin'
Matchbox hole in my clothes
I said I'm sittin' here wonderin'
Matchbox hole in my clothes
I ain't got no matches but I sure
Got a long way to go

I'm an ole poor boy, and I'm a
Long way from home
I'm an ole poor boy, and I'm a
Long way from home
I've never been happy cause everything I
Ever did was wrong

Well, if you don't want my peaches, honey
Please don't shake my tree
If you don't want any of those peaches honey
Please don't mess around my tree
I got news for you baby
Leave me here in misery
Alright!

{Bridge}

Well, let me be your little dog
Till your big dog comes
Let me be your little dog
Till your big dog comes
And when your big dog gets here
Watch how your puppy dog runs

Well, I said I'm sittin' here watchin'
Matchbox hole in my clothes
I said I'm sittin' here watchin'
Matchbox hole in my clothes
I ain't got no matches but I sure
Got a long way to go",en,"{intro} i said i'm sittin' here watchin' matchbox hole in my clothes i said i'm sittin' here wonderin' matchbox hole in my clothes i ain't got no matches but i sure got a long way to go i'm an ole poor boy , and i'm a long way from home i'm an ole poor boy , and i'm a long way from home i've never been happy cause everything i ever did was wrong well , if you don't want my peaches , honey please don't shake my tree if you don't want any of those peaches honey please don't mess around my tree i got news for you baby leave me here in misery alright ! {bridge} well , let me be your little dog till your big dog comes let me be your little dog till your big dog comes and when your big dog gets here watch how your puppy dog runs well , i said i'm sittin' here watchin' matchbox hole in my clothes i said i'm sittin' here watchin' matchbox hole in my clothes i ain't got no matches but i sure got a long way to go","['intro', 'said', 'sittin', 'watchin', 'matchbox', 'hole', 'clothes', 'said', 'sittin', 'wonderin', 'matchbox', 'hole', 'clothes', 'ai', 'got', 'matches', 'sure', 'got', 'long', 'way', 'ole', 'poor', 'boy', 'long', 'way', 'home', 'ole', 'poor', 'boy', 'long', 'way', 'home', 'happy', 'cause', 'wrong', 'want', 'peaches', 'honey', 'shake', 'tree', 'want', 'peaches', 'honey', 'mess', 'tree', 'got', 'news', 'baby', 'leave', 'misery', 'alright', 'bridge', 'let', 'little', 'dog', 'till', 'big', 'dog', 'comes', 'let', 'little', 'dog', 'till', 'big', 'dog', 'comes', 'big', 'dog', 'gets', 'watch', 'puppy', 'dog', 'runs', 'said', 'sittin', 'watchin', 'matchbox', 'hole', 'clothes', 'said', 'sittin', 'watchin', 'matchbox', 'hole', 'clothes', 'ai', 'got', 'matches', 'sure', 'got', 'long', 'way']",7,Love & Relationships
We Can Work It Out,rock,the beatles,1965,63702,"[Verse 1: Paul McCartney]
Try to see it my way
Do I have to keep on talking till I can't go on?
While you see it your way
Run the risk of knowing that our love may soon be gone

[Chorus: Paul McCartney]
We can work it out
We can work it out

[Verse 2: Paul McCartney]
Think of what you're saying
You can get it wrong and still you think that it's alright
Think of what I'm saying
We can work it out and get it straight or say good night

[Chorus: Paul McCartney]
We can work it out
We can work it out

[Bridge: Paul McCartney & John Lennon]
Life is very short and there's no time
For fussing and fighting, my friend
I have always thought that it's a crime
So I will ask you once again
[Verse 3: Paul McCartney]
Try to see it my way
Only time will tell if I am right or I am wrong
While you see it your way
There's a chance that we might fall apart before too long

[Chorus: Paul McCartney]
We can work it out
We can work it out

[Bridge: Paul McCartney & John Lennon]
Life is very short and there's no time
For fussing and fighting, my friend
I have always thought that it's a crime
So I will ask you once again

[Verse 4: Paul McCartney]
Try to see it my way
Only time will tell if I am right or I am wrong
While you see it your way
There's a chance that we might fall apart before too long

[Chorus: Paul McCartney]
We can work it out
We can work it out",en,"try to see it my way do i have to keep on talking till i can't go on ? while you see it your way run the risk of knowing that our love may soon be gone  we can work it out we can work it out  think of what you're saying you can get it wrong and still you think that it's alright think of what i'm saying we can work it out and get it straight or say good night  we can work it out we can work it out  life is very short and there's no time for fussing and fighting , my friend i have always thought that it's a crime so i will ask you once again  try to see it my way only time will tell if i am right or i am wrong while you see it your way there's a chance that we might fall apart before too long  we can work it out we can work it out  life is very short and there's no time for fussing and fighting , my friend i have always thought that it's a crime so i will ask you once again  try to see it my way only time will tell if i am right or i am wrong while you see it your way there's a chance that we might fall apart before too long  we can work it out we can work it out","['try', 'way', 'talking', 'till', 'way', 'run', 'risk', 'knowing', 'love', 'soon', 'gone', 'work', 'work', 'think', 'saying', 'wrong', 'think', 'alright', 'think', 'saying', 'work', 'straight', 'good', 'night', 'work', 'work', 'life', 'short', 'time', 'fussing', 'fighting', 'friend', 'thought', 'crime', 'ask', 'try', 'way', 'time', 'tell', 'right', 'wrong', 'way', 'chance', 'fall', 'apart', 'long', 'work', 'work', 'life', 'short', 'time', 'fussing', 'fighting', 'friend', 'thought', 'crime', 'ask', 'try', 'way', 'time', 'tell', 'right', 'wrong', 'way', 'chance', 'fall', 'apart', 'long', 'work', 'work']",10,Love & Relationships
Magical Mystery Tour,pop,the beatles,1967,36044,"[Intro: Paul McCartney]
(Roll up! Roll up for the magical mystery tour!
Step right this way!)

[Verse: Paul McCartney, George Harrison, and (John Lennon)]
Roll up, roll up for the mystery tour
Roll up, roll up for the mystery tour
Roll up (And that's an invitation), roll up for the mystery tour
Roll up (To make a reservation), roll up for the mystery tour

[Chorus 1: Paul McCartney]
The magical mystery tour is waiting to take you away
Waiting to take you away

[Verse: Paul McCartney, John Lennon and (George Harrison)]
Roll up, roll up for the mystery tour
Roll up, roll up for the mystery tour
Roll up (We've got everything you need), roll up for the mystery tour
Roll up (Satisfaction guaranteed), roll up for the mystery tour

[Chorus 2: Paul McCartney]
The magical mystery tour is hoping to take you away
Hoping to take you away
[Bridge]
A mystery trip

[Verse: John Lennon, George Harrison, and (Paul McCartney)]
Aaaah... the magical mystery tour
Roll up, roll up for the mystery tour
Roll up (And that's an invitation), roll up for the mystery tour
Roll up (To make a reservation), roll up for the mystery tour

[Chorus: Paul McCartney]
The magical mystery tour is coming to take you away
Coming to take you away
The magical mystery tour is dying to take you away
Dying to take you away, take you today

[Outro]",en,"roll up , roll up for the mystery tour roll up , roll up for the mystery tour roll up  , roll up for the mystery tour roll up  , roll up for the mystery tour  the magical mystery tour is waiting to take you away waiting to take you away  roll up , roll up for the mystery tour roll up , roll up for the mystery tour roll up  , roll up for the mystery tour roll up  , roll up for the mystery tour  the magical mystery tour is hoping to take you away hoping to take you away  a mystery trip  aaaah . . . the magical mystery tour roll up , roll up for the mystery tour roll up  , roll up for the mystery tour roll up  , roll up for the mystery tour  the magical mystery tour is coming to take you away coming to take you away the magical mystery tour is dying to take you away dying to take you away , take you today","['roll', 'roll', 'mystery', 'tour', 'roll', 'roll', 'mystery', 'tour', 'roll', 'roll', 'mystery', 'tour', 'roll', 'roll', 'mystery', 'tour', 'magical', 'mystery', 'tour', 'waiting', 'away', 'waiting', 'away', 'roll', 'roll', 'mystery', 'tour', 'roll', 'roll', 'mystery', 'tour', 'roll', 'roll', 'mystery', 'tour', 'roll', 'roll', 'mystery', 'tour', 'magical', 'mystery', 'tour', 'hoping', 'away', 'hoping', 'away', 'mystery', 'trip', 'aaaah', 'magical', 'mystery', 'tour', 'roll', 'roll', 'mystery', 'tour', 'roll', 'roll', 'mystery', 'tour', 'roll', 'roll', 'mystery', 'tour', 'magical', 'mystery', 'tour', 'coming', 'away', 'coming', 'away', 'magical', 'mystery', 'tour', 'dying', 'away', 'dying', 'away', 'today']",10,Love & Relationships
Your Mother Should Know,rock,the beatles,1967,30747,"[Intro]

[Verse 1]
Let's all get up and dance to a song
That was a hit before your mother was born
Though she was born a long, long time ago
Your mother should know (Your mother should)
Your mother should know (Know)
Sing it again
Let's all get up and dance to a song
That was a hit before your mother was born
Though she was born a long, long time ago
Your mother should know (Your mother should)
Your mother should know (Know)

[Bridge]

[Verse 2]
Lift up your hearts and sing me a song
That was a hit before your mother was born
Though she was born a long, long time ago
Your mother should know (Your mother should)
Your mother should know (Know)
Your mother should know (Your mother should)
Your mother should know (Know)
[Bridge]

[Verse 3]
Sing it again
Da da dada da da da dada dada dada da da
Da dada da da
Though she was born a long, long time ago
Your mother should know (Your mother should)
Your mother should know (Know)
Your mother should know (Your mother should)
Your mother should know (Know)
Your mother should know (Your mother should)
Your mother should know (Know)",en,"let's all get up and dance to a song that was a hit before your mother was born though she was born a long , long time ago your mother should know  your mother should know  sing it again let's all get up and dance to a song that was a hit before your mother was born though she was born a long , long time ago your mother should know  your mother should know    lift up your hearts and sing me a song that was a hit before your mother was born though she was born a long , long time ago your mother should know  your mother should know  your mother should know  your mother should know    sing it again da da dada da da da dada dada dada da da da dada da da though she was born a long , long time ago your mother should know  your mother should know  your mother should know  your mother should know  your mother should know  your mother should know","['let', 'dance', 'song', 'hit', 'mother', 'born', 'born', 'long', 'long', 'time', 'ago', 'mother', 'know', 'mother', 'know', 'sing', 'let', 'dance', 'song', 'hit', 'mother', 'born', 'born', 'long', 'long', 'time', 'ago', 'mother', 'know', 'mother', 'know', 'lift', 'hearts', 'sing', 'song', 'hit', 'mother', 'born', 'born', 'long', 'long', 'time', 'ago', 'mother', 'know', 'mother', 'know', 'mother', 'know', 'mother', 'know', 'sing', 'da', 'da', 'dada', 'da', 'da', 'da', 'dada', 'dada', 'dada', 'da', 'da', 'da', 'dada', 'da', 'da', 'born', 'long', 'long', 'time', 'ago', 'mother', 'know', 'mother', 'know', 'mother', 'know', 'mother', 'know', 'mother', 'know', 'mother', 'know']",8,Love & Relationships
Baby You’re a Rich Man,rock,the beatles,1967,39691,"[Verse 1]
How does it feel to be one of the beautiful people?
Now that you know who you are
What do you want to be?
And have you traveled very far?
Far as the eye can see

[Verse 2]
How does it feel to be one of the beautiful people?
How often have you been there?
Often enough to know
What did you see when you were there?
Nothing that doesn't show

[Chorus]
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
You keep all your money in a big brown bag inside a zoo
What a thing to do
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
[Verse 3]
How does it feel to be one of the beautiful people?
Tuned to a natural E
Happy to be that way
Now that you've found another key
What are you going to play?

[Chorus]
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
You keep all your money in a big brown bag inside a zoo
What a thing to do
Baby, baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
Oh, baby, you're a rich man
Baby, you're a rich man
Baby, baby you're a rich man, too",en,"how does it feel to be one of the beautiful people ? now that you know who you are what do you want to be ? and have you traveled very far ? far as the eye can see  how does it feel to be one of the beautiful people ? how often have you been there ? often enough to know what did you see when you were there ? nothing that doesn't show  baby , you're a rich man baby , you're a rich man baby , you're a rich man , too you keep all your money in a big brown bag inside a zoo what a thing to do baby , you're a rich man baby , you're a rich man baby , you're a rich man , too  how does it feel to be one of the beautiful people ? tuned to a natural e happy to be that way now that you've found another key what are you going to play ?  baby , you're a rich man baby , you're a rich man baby , you're a rich man , too you keep all your money in a big brown bag inside a zoo what a thing to do baby , baby , you're a rich man baby , you're a rich man baby , you're a rich man , too oh , baby , you're a rich man baby , you're a rich man baby , baby you're a rich man , too","['feel', 'beautiful', 'people', 'know', 'want', 'traveled', 'far', 'far', 'eye', 'feel', 'beautiful', 'people', 'know', 'baby', 'rich', 'man', 'baby', 'rich', 'man', 'baby', 'rich', 'man', 'money', 'big', 'brown', 'bag', 'inside', 'zoo', 'thing', 'baby', 'rich', 'man', 'baby', 'rich', 'man', 'baby', 'rich', 'man', 'feel', 'beautiful', 'people', 'tuned', 'natural', 'e', 'happy', 'way', 'found', 'key', 'going', 'play', 'baby', 'rich', 'man', 'baby', 'rich', 'man', 'baby', 'rich', 'man', 'money', 'big', 'brown', 'bag', 'inside', 'zoo', 'thing', 'baby', 'baby', 'rich', 'man', 'baby', 'rich', 'man', 'baby', 'rich', 'man', 'oh', 'baby', 'rich', 'man', 'baby', 'rich', 'man', 'baby', 'baby', 'rich', 'man']",8,Love & Relationships
The Ballad of John and Yoko,rock,the beatles,1969,88549,"[Verse 1: John Lennon]
Standing in the dock at Southampton
Trying to get to Holland or France
The man in the mac said, ""You've got to go back""
You know they didn't even give us a chance

[Chorus: John Lennon]
Christ, you know it ain't easy
You know how hard it can be
The way things are going
They're gonna crucify me

[Verse 2: John Lennon]
Finally made the plane into Paris
Honeymooning down by the Seine
Peter Brown called to say, ""You can make it okay
You can get married in Gibraltar, near Spain""

[Chorus: John Lennon]
Christ, you know it ain't easy
You know how hard it can be
The way things are going
They're gonna crucify me
[Verse 3: John Lennon]
Drove from Paris to the Amsterdam Hilton
Talking in our beds for a week
The news people said, ""Say what you doing in bed?""
I said, ""We're only trying to get us some peace""

[Chorus: John Lennon]
Christ, you know it ain't easy
You know how hard it can be
The way things are going
They're gonna crucify me

[Bridge: John Lennon]
Saving up your money for a rainy day
Giving all your clothes to charity
Last night the wife said, ""Poor boy, when you're dead
You don't take nothing with you but your soul""
Think!

[Verse 4: John Lennon]
Made a lightning trip to Vienna
Eating chocolate cake in a bag
The newspaper said, ""She's gone to his head
They look just like two gurus in drag""

[Chorus: John Lennon & Paul McCartney]
Christ, you know it ain't easy
You know how hard it can be
The way things are going
They're gonna crucify me
[Verse 5: John Lennon & Paul McCartney]
Caught the early plane back to London
Fifty acorns tied in a sack
The men from the press said, ""We wish you success
It's good to have the both of you back""

[Chorus: John Lennon & Paul McCartney]
Christ, you know it ain't easy
You know how hard it can be
The way things are going
They're gonna crucify me
The way things are going
They're gonna crucify me

[Outro]",en,"standing in the dock at southampton trying to get to holland or france the man in the mac said , ""you've got to go back"" you know they didn't even give us a chance  christ , you know it ain't easy you know how hard it can be the way things are going they're gonna crucify me  finally made the plane into paris honeymooning down by the seine peter brown called to say , ""you can make it okay you can get married in gibraltar , near spain""  christ , you know it ain't easy you know how hard it can be the way things are going they're gonna crucify me  drove from paris to the amsterdam hilton talking in our beds for a week the news people said , ""say what you doing in bed ? "" i said , ""we're only trying to get us some peace""  christ , you know it ain't easy you know how hard it can be the way things are going they're gonna crucify me  saving up your money for a rainy day giving all your clothes to charity last night the wife said , ""poor boy , when you're dead you don't take nothing with you but your soul"" think !  made a lightning trip to vienna eating chocolate cake in a bag the newspaper said , ""she's gone to his head they look just like two gurus in drag""  christ , you know it ain't easy you know how hard it can be the way things are going they're gonna crucify me  caught the early plane back to london fifty acorns tied in a sack the men from the press said , ""we wish you success it's good to have the both of you back""  christ , you know it ain't easy you know how hard it can be the way things are going they're gonna crucify me the way things are going they're gonna crucify me","['standing', 'dock', 'southampton', 'trying', 'holland', 'france', 'man', 'mac', 'said', 'got', 'know', 'chance', 'christ', 'know', 'ai', 'easy', 'know', 'hard', 'way', 'things', 'going', 'gon', 'na', 'crucify', 'finally', 'plane', 'paris', 'honeymooning', 'seine', 'peter', 'brown', 'called', 'okay', 'married', 'gibraltar', 'near', 'spain', 'christ', 'know', 'ai', 'easy', 'know', 'hard', 'way', 'things', 'going', 'gon', 'na', 'crucify', 'drove', 'paris', 'amsterdam', 'hilton', 'talking', 'beds', 'week', 'news', 'people', 'said', 'bed', 'said', 'trying', 'peace', 'christ', 'know', 'ai', 'easy', 'know', 'hard', 'way', 'things', 'going', 'gon', 'na', 'crucify', 'saving', 'money', 'rainy', 'day', 'giving', 'clothes', 'charity', 'night', 'wife', 'said', 'poor', 'boy', 'dead', 'soul', 'think', 'lightning', 'trip', 'vienna', 'eating', 'chocolate', 'cake', 'bag', 'newspaper', 'said', 'gone', 'head', 'look', 'like', 'gurus', 'drag', 'christ', 'know', 'ai', 'easy', 'know', 'hard', 'way', 'things', 'going', 'gon', 'na', 'crucify', 'caught', 'early', 'plane', 'london', 'acorns', 'tied', 'sack', 'men', 'press', 'said', 'wish', 'success', 'good', 'christ', 'know', 'ai', 'easy', 'know', 'hard', 'way', 'things', 'going', 'gon', 'na', 'crucify', 'way', 'things', 'going', 'gon', 'na', 'crucify']",2,Personal Experiences
